,label,dim_0,dim_1,layer,fold,text,iteration
0,Rouble,-3.9687600135803223,4.829873085021973,average,train,What is this currency of russia,0
1,Rouble,0.7497078776359558,1.0804598331451416,output,train,What is this currency of russia,0
2,Pound,-1.0488603115081787,4.847946643829346,average,train,What is this currency of england,0
3,Pound,0.46597421169281006,0.6145905256271362,output,train,What is this currency of england,0
4,Moscow,-3.900991678237915,1.142888069152832,average,train,What is this capital of russia,0
5,Moscow,-0.19380849599838257,0.04840269684791565,output,train,What is this capital of russia,0
6,London,-0.9810919761657715,1.160961627960205,average,train,What is this capital of england,0
7,London,0.09070590138435364,-0.06941469013690948,output,train,What is this capital of england,0
8,Rouble,-4.713673114776611,3.1172642707824707,average,train,What 's russia 's currency,0
9,Rouble,0.23159682750701904,0.8249116539955139,output,train,What 's russia 's currency,0
10,Pound,-1.7937735319137573,3.1353378295898438,average,train,What 's england 's currency,0
11,Pound,0.27630627155303955,0.4614638686180115,output,train,What 's england 's currency,0
12,Moscow,-4.645905017852783,-0.5697206258773804,average,train,What 's russia 's capital,0
13,Moscow,-0.9978388547897339,-0.29630646109580994,output,train,What 's russia 's capital,0
14,London,-1.7260053157806396,-0.5516470670700073,average,train,What 's england 's capital,0
15,London,-0.49002036452293396,-0.17043602466583252,output,train,What 's england 's capital,0
16,Rouble,-2.8619117736816406,5.21489953994751,average,dev,What currency is used in russia,0
17,Rouble,0.7231371998786926,1.0548014640808105,output,dev,What currency is used in russia,0
18,Pound,0.057987868785858154,5.232973098754883,average,dev,What currency is used in england,0
19,Pound,0.43940359354019165,0.5889320373535156,output,dev,What currency is used in england,0
20,Moscow,-3.5819265842437744,0.8631896376609802,average,dev,What is the capital and largest city of russia,0
21,Moscow,-0.3820202648639679,-0.06727077066898346,output,dev,What is the capital and largest city of russia,0
22,London,-0.6620268821716309,0.8812631964683533,average,dev,What is the capital and largest city of england,0
23,London,0.022837698459625244,-0.06182101368904114,output,dev,What is the capital and largest city of england,0
24,Rouble,-3.409040927886963,3.7294578552246094,average,dev,What 's the currency in russia,0
25,Rouble,0.4767228960990906,0.8868343234062195,output,dev,What 's the currency in russia,0
26,Pound,-0.4891413450241089,3.7475314140319824,average,dev,What 's the currency in england,0
27,Pound,0.3667866289615631,0.47516191005706787,output,dev,What 's the currency in england,0
28,Moscow,-4.129055976867676,-0.6222518682479858,average,dev,What 's the capital of russia,0
29,Moscow,-0.7269406914710999,-0.2659558653831482,output,dev,What 's the capital of russia,0
30,London,-1.2091561555862427,-0.6041783094406128,average,dev,What 's the capital of england,0
31,London,-0.14011642336845398,-0.0009330809116363525,output,dev,What 's the capital of england,0
32,Rouble,-3.925490617752075,4.783834457397461,average,train,What is this currency of russia,10
33,Rouble,0.09947587549686432,0.7337477803230286,output,train,What is this currency of russia,10
34,Pound,-1.002509593963623,4.80906343460083,average,train,What is this currency of england,10
35,Pound,0.02631370723247528,0.3167140483856201,output,train,What is this currency of england,10
36,Moscow,-3.871321678161621,1.1146643161773682,average,train,What is this capital of russia,10
37,Moscow,-0.5997781157493591,0.030056118965148926,output,train,What is this capital of russia,10
38,London,-0.9483407139778137,1.1398932933807373,average,train,What is this capital of england,10
39,London,0.18497522175312042,0.11947828531265259,output,train,What is this capital of england,10
40,Rouble,-4.674883842468262,3.068068027496338,average,train,What 's russia 's currency,10
41,Rouble,-0.5579105019569397,0.6067100167274475,output,train,What 's russia 's currency,10
42,Pound,-1.7519025802612305,3.093297004699707,average,train,What 's england 's currency,10
43,Pound,-0.22402648627758026,0.27591145038604736,output,train,What 's england 's currency,10
44,Moscow,-4.6207146644592285,-0.6011021137237549,average,train,What 's russia 's capital,10
