,text,dim_0,dim_1,layer,label,fold,grad_0,grad_1,iteration
0,<unk>,0.0,0.0,Embedding,,,0.0,0.0,0
1,'s,-1.3046321868896484,-0.6121937036514282,Embedding,,,-1.3046321868896484,-0.6121937036514282,0
2,What,0.1467563956975937,1.786867618560791,Embedding,,,0.1467563956975937,1.786867618560791,0
3,capital,0.2059335857629776,-2.343275785446167,Embedding,,,0.2059335857629776,-2.343275785446167,0
4,currency,0.13816536962985992,1.3437092304229736,Embedding,,,0.13816536962985992,1.3437092304229736,0
5,england,0.5305690765380859,1.229148507118225,Embedding,,,0.5305690765380859,1.229148507118225,0
6,is,-0.7575029730796814,0.8732479214668274,Embedding,,,-0.7575029730796814,0.8732479214668274,0
7,of,-0.7877830266952515,-0.6647250056266785,Embedding,,,-0.7877830266952515,-0.6647250056266785,0
8,russia,-2.3893306255340576,1.211074948310852,Embedding,,,-2.3893306255340576,1.211074948310852,0
9,this,-0.3190650939941406,0.2796984612941742,Embedding,,,-0.3190650939941406,0.2796984612941742,0
10,linear2.weight_0,-0.4087190628051758,0.16484200954437256,param,,,-0.4087190628051758,0.16484200954437256,0
11,linear2.weight_1,-0.1274546980857849,0.36099421977996826,param,,,-0.1274546980857849,0.36099421977996826,0
12,linear2.weight_2,-0.3269529342651367,-0.1510356068611145,param,,,-0.3269529342651367,-0.1510356068611145,0
13,linear2.weight_3,0.3729829788208008,-0.43535929918289185,param,,,0.3729829788208008,-0.43535929918289185,0
14,linear2.bias,-0.061984241008758545,-0.28006964921951294,bias,,,-0.061984241008758545,-0.28006964921951294,0
15,linear1.weight_0,-0.018089592456817627,-0.308042049407959,param,,,-0.018089592456817627,-0.308042049407959,0
16,linear1.weight_1,-0.40747106075286865,0.3647523522377014,param,,,-0.40747106075286865,0.3647523522377014,0
17,linear1.weight_2,0.3573038578033447,-0.22348332405090332,param,,,0.3573038578033447,-0.22348332405090332,0
18,linear1.weight_3,-0.46119409799575806,0.4703993797302246,param,,,-0.46119409799575806,0.4703993797302246,0
19,linear1.bias,-0.14592349529266357,0.24065786600112915,bias,,,-0.14592349529266357,0.24065786600112915,0
20,<unk>,0.0,0.0,Embedding,,,0.0,0.0,10
21,'s,-1.2975834608078003,-0.6211512684822083,Embedding,,,-1.2975834608078003,-0.6211512684822083,10
22,What,0.1564730405807495,1.7774696350097656,Embedding,,,0.1564730405807495,1.7774696350097656,10
23,capital,0.20399221777915955,-2.3390674591064453,Embedding,,,0.20399221777915955,-2.3390674591064453,10
24,currency,0.14982342720031738,1.330102801322937,Embedding,,,0.14982342720031738,1.330102801322937,10
25,england,0.536967933177948,1.2280272245407104,Embedding,,,0.536967933177948,1.2280272245407104,10
26,is,-0.7513105869293213,0.8683287501335144,Embedding,,,-0.7513105869293213,0.8683287501335144,10
27,of,-0.7815906405448914,-0.6696441769599915,Embedding,,,-0.7815906405448914,-0.6696441769599915,10
28,russia,-2.3860130310058594,1.2027982473373413,Embedding,,,-2.3860130310058594,1.2027982473373413,10
29,this,-0.3128727674484253,0.2747793197631836,Embedding,,,-0.3128727674484253,0.2747793197631836,10
30,linear2.weight_0,-0.402715265750885,0.05796142667531967,param,,,-0.402715265750885,0.05796142667531967,10
31,linear2.weight_1,-0.08531767874956131,0.33390578627586365,param,,,-0.08531767874956131,0.33390578627586365,10
32,linear2.weight_2,-0.3648798167705536,-0.13946080207824707,param,,,-0.3648798167705536,-0.13946080207824707,10
33,linear2.weight_3,0.3627690374851227,-0.3129650056362152,param,,,0.3627690374851227,-0.3129650056362152,10
34,linear2.bias,-0.07984085381031036,-0.28741806745529175,bias,,,-0.07984085381031036,-0.28741806745529175,10
35,linear1.weight_0,-0.06994780153036118,-0.27162960171699524,param,,,-0.06994780153036118,-0.27162960171699524,10
36,linear1.weight_1,-0.3954828977584839,0.2722768783569336,param,,,-0.3954828977584839,0.2722768783569336,10
37,linear1.weight_2,0.3441849946975708,-0.2229924499988556,param,,,0.3441849946975708,-0.2229924499988556,10
38,linear1.weight_3,-0.4274311661720276,0.4434202015399933,param,,,-0.4274311661720276,0.4434202015399933,10
39,linear1.bias,-0.11610841006040573,0.22148767113685608,bias,,,-0.11610841006040573,0.22148767113685608,10
40,<unk>,0.0,0.0,Embedding,,,0.0,0.0,20
41,'s,-1.2962701320648193,-0.623698353767395,Embedding,,,-1.2962701320648193,-0.623698353767395,20
42,What,0.16220873594284058,1.7722512483596802,Embedding,,,0.16220873594284058,1.7722512483596802,20
43,capital,0.20619407296180725,-2.339632034301758,Embedding,,,0.20619407296180725,-2.339632034301758,20
44,currency,0.15335729718208313,1.3254494667053223,Embedding,,,0.15335729718208313,1.3254494667053223,20
45,england,0.5471206307411194,1.2256643772125244,Embedding,,,0.5471206307411194,1.2256643772125244,20
46,is,-0.7462316751480103,0.8643839955329895,Embedding,,,-0.7462316751480103,0.8643839955329895,20
47,of,-0.7765117287635803,-0.6735889315605164,Embedding,,,-0.7765117287635803,-0.6735889315605164,20
48,russia,-2.390429973602295,1.1999428272247314,Embedding,,,-2.390429973602295,1.1999428272247314,20
49,this,-0.30779382586479187,0.2708345353603363,Embedding,,,-0.30779382586479187,0.2708345353603363,20
50,linear2.weight_0,-0.40154504776000977,-0.024949995800852776,param,,,-0.40154504776000977,-0.024949995800852776,20
51,linear2.weight_1,-0.03871404752135277,0.32197561860084534,param,,,-0.03871404752135277,0.32197561860084534,20
52,linear2.weight_2,-0.4053167998790741,-0.13847486674785614,param,,,-0.4053167998790741,-0.13847486674785614,20
53,linear2.weight_3,0.35543206334114075,-0.21910934150218964,param,,,0.35543206334114075,-0.21910934150218964,20
54,linear2.bias,-0.08643361926078796,-0.2967768907546997,bias,,,-0.08643361926078796,-0.2967768907546997,20
55,linear1.weight_0,-0.11634252965450287,-0.2515157163143158,param,,,-0.11634252965450287,-0.2515157163143158,20
56,linear1.weight_1,-0.4013124704360962,0.20690259337425232,param,,,-0.4013124704360962,0.20690259337425232,20
57,linear1.weight_2,0.37475940585136414,-0.2649766802787781,param,,,0.37475940585136414,-0.2649766802787781,20
58,linear1.weight_3,-0.40208908915519714,0.421141117811203,param,,,-0.40208908915519714,0.421141117811203,20
59,linear1.bias,-0.10752882808446884,0.2120928317308426,bias,,,-0.10752882808446884,0.2120928317308426,20
60,<unk>,0.0,0.0,Embedding,,,0.0,0.0,30
61,'s,-1.2953433990478516,-0.6249549388885498,Embedding,,,-1.2953433990478516,-0.6249549388885498,30
62,What,0.1687614470720291,1.7672265768051147,Embedding,,,0.1687614470720291,1.7672265768051147,30
63,capital,0.21186041831970215,-2.3437628746032715,Embedding,,,0.21186041831970215,-2.3437628746032715,30
64,currency,0.15424364805221558,1.3245558738708496,Embedding,,,0.15424364805221558,1.3245558738708496,30
65,england,0.5608246922492981,1.2223068475723267,Embedding,,,0.5608246922492981,1.2223068475723267,30
66,is,-0.7401422262191772,0.8599876761436462,Embedding,,,-0.7401422262191772,0.8599876761436462,30
67,of,-0.7704222798347473,-0.6779852509498596,Embedding,,,-0.7704222798347473,-0.6779852509498596,30
68,russia,-2.397581100463867,1.1982759237289429,Embedding,,,-2.397581100463867,1.1982759237289429,30
69,this,-0.301704466342926,0.2664383053779602,Embedding,,,-0.301704466342926,0.2664383053779602,30
70,linear2.weight_0,-0.40510690212249756,-0.09597311913967133,param,,,-0.40510690212249756,-0.09597311913967133,30
71,linear2.weight_1,0.008762159384787083,0.31922897696495056,param,,,0.008762159384787083,0.31922897696495056,30
72,linear2.weight_2,-0.44506630301475525,-0.14389804005622864,param,,,-0.44506630301475525,-0.14389804005622864,30
73,linear2.weight_3,0.3512671887874603,-0.13991641998291016,param,,,0.3512671887874603,-0.13991641998291016,30
74,linear2.bias,-0.09106450527906418,-0.3112412989139557,bias,,,-0.09106450527906418,-0.3112412989139557,30
75,linear1.weight_0,-0.16369855403900146,-0.24020367860794067,param,,,-0.16369855403900146,-0.24020367860794067,30
76,linear1.weight_1,-0.4179685115814209,0.15795810520648956,param,,,-0.4179685115814209,0.15795810520648956,30
77,linear1.weight_2,0.3982798159122467,-0.3046879470348358,param,,,0.3982798159122467,-0.3046879470348358,30
78,linear1.weight_3,-0.38285690546035767,0.40397679805755615,param,,,-0.38285690546035767,0.40397679805755615,30
